Ranks,Year,Month,Monthday,Profit
1,2022,11,November,543093.04
2,2022,10,October,497701.13
3,2022,12,December,470028.22
4,2022,1,January,468952.29
5,2022,4,April,462607.1
6,2022,5,May,442531.47
7,2022,7,July,441421.88
8,2022,3,March,438413.84
9,2022,2,February,428785.28
10,2022,9,September,417800.42
11,2022,8,August,413413.32
12,2022,6,June,390637.35
1,2023,4,April,531972.38
2,2023,11,November,499429.61
3,2023,3,March,482197.13
4,2023,6,June,479907
5,2023,5,May,456106.87
6,2023,12,December,444795
7,2023,8,August,416630.55
8,2023,1,January,408534.65
9,2023,9,September,398782.28
10,2023,7,July,354367.7
11,2023,10,October,349294.28
12,2023,2,February,328081.21
1,2024,2,February,444929
2,2024,1,January,400833.52
3,2024,3,March,385833.96
4,2024,4,April,165642.36
